Boom_Head_C_P,Arm_Rod_C_P,Arm_Head_C_P,Bkt_Rod_C_P,Bkt_Head_C_P,Boom_Rod_C_P,Boom_theta,Arm_theta,Bkt_theta,Jbkt ,Cabin_Slope_Yaw,Cabin_Slope_Pitch,Cabin_Slope_Roll,Dist,ImgName,Phase,distance,depth,bktAOA
21.05,178.35,17.95,107.0,52.85,214.8,20.33,-49.43,106.4,-10.33,0,1.54,0.51,5.447,P_20220919_092125.681,PHASE_0,10.054,-0.577,-39.43
22.9,179.9,17.95,96.35,46.05,213.8,20.33,-49.43,106.4,-10.33,0,1.54,0.51,5.447,20220919_092126.758,PHASE_0,10.054,-0.577,-39.43
22.9,141.9,54.65,82.8,59.85,155.7,18.16,-62.86,104.3,-12.87,0,1.53,0.37,5.28,20220919_092126.824,PHASE_0,9.168,-1.879,-57.57
43.75,107.8,113.0,172.9,191.1,147.1,17.67,-64.97,76.0,-47.85,0,1.49,0.19,4.886,20220919_092126.937,PHASE_0,7.871,-2.322,-95.15
35.9,72.9,115.35,139.55,206.25,145.8,17.86,-70.66,75.3,-48.75,0,1.43,0.01,4.886,20220919_092127.044,PHASE_0,7.423,-2.462,-101.55
31.5,63.25,127.05,110.15,199.45,24.2,18.05,-71.85,75.1,-49.0,0,1.4,-0.11,4.886,20220919_092127.153,PHASE_0,7.331,-2.466,-102.8
31.25,56.75,133.85,93.2,206.25,150.75,18.05,-71.85,75.1,-49.0,0,1.4,-0.11,4.763,20220919_092127.268,PHASE_0,7.331,-2.466,-102.8
29.9,57.55,133.05,84.85,199.2,152.3,18.2,-74.5,70.5,-54.97,0,1.39,-0.23,4.763,20220919_092127.378,PHASE_0,6.942,-2.445,-111.27
31.25,56.25,135.65,80.7,198.65,154.15,18.2,-74.5,70.5,-54.97,0,1.39,-0.23,4.676,20220919_092127.484,PHASE_0,6.942,-2.445,-111.27
28.1,51.8,139.55,64.8,197.9,155.95,18.39,-77.59,69.4,-56.41,0,1.39,-0.11,4.676,20220919_092127.596,PHASE_0,6.668,-2.451,-115.61
25.5,49.2,146.35,18.75,190.1,183.85,18.62,-80.62,68.7,-57.34,0,1.42,-0.1,4.653,20220919_092127.703,PHASE_0,6.416,-2.444,-119.34
26.3,48.95,141.9,26.3,182.55,181.5,18.62,-80.62,68.7,-57.34,0,1.42,-0.1,4.818,20220919_092127.808,PHASE_0,6.416,-2.444,-119.34
27.3,51.3,135.9,27.05,174.45,175.0,19.0,-82.0,68.1,-58.13,0,1.44,-0.06,4.818,20220919_092127.920,PHASE_0,6.302,-2.399,-121.13
27.3,51.3,134.1,29.4,172.9,166.9,19.0,-82.0,68.1,-58.13,0,1.44,-0.06,4.323,20220919_092128.030,PHASE_0,6.302,-2.399,-121.13
26.55,54.65,130.95,35.15,166.1,162.5,19.52,-85.52,66.0,-60.92,0,1.49,0.17,4.323,20220919_092128.138,PHASE_0,5.975,-2.306,-126.92
28.6,53.9,134.35,43.45,164.55,159.6,19.52,-85.52,66.0,-60.92,0,1.49,0.17,4.323,20220919_092128.246,PHASE_0,5.975,-2.306,-126.92
25.75,53.9,131.25,47.9,172.35,158.85,19.97,-88.27,65.7,-61.33,0,1.49,0.22,4.323,20220919_092128.356,PHASE_0,5.771,-2.252,-129.63
31.25,53.6,139.55,56.25,185.9,158.3,19.97,-88.67,62.4,-65.79,0,1.47,0.14,4.382,20220919_092128.466,PHASE_0,5.629,-2.15,-134.49
27.05,51.55,143.75,60.15,197.35,160.65,20.17,-88.87,62.4,-65.79,0,1.47,0.14,4.382,20220919_092128.575,PHASE_0,5.622,-2.13,-134.49
22.9,47.35,160.4,47.1,214.55,172.1,20.12,-89.42,61.3,-67.29,0,1.46,0.12,5.86,20220919_092128.683,PHASE_0,5.543,-2.096,-136.59
22.9,46.6,170.55,39.55,223.4,171.6,20.12,-89.42,61.3,-67.29,0,1.46,0.12,5.86,20220919_092128.798,PHASE_0,5.543,-2.096,-136.59
22.9,75.5,151.8,53.35,227.6,169.5,20.09,-91.09,58.8,-70.75,0,1.46,0.1,5.841,20220919_092128.902,PHASE_0,5.344,-1.999,-141.75
23.4,68.2,160.9,69.75,257.55,177.85,20.0,-93.5,58.1,-71.73,0,1.49,0.12,5.829,20220919_092129.010,PHASE_0,5.148,-1.955,-145.23
23.65,67.15,163.8,77.05,271.6,185.15,20.0,-93.5,58.1,-71.73,0,1.49,0.12,5.829,20220919_092129.122,PHASE_0,5.148,-1.955,-145.23
22.9,119.25,131.25,77.6,228.35,201.8,19.94,-92.84,60.3,-68.67,0,1.47,0.1,5.792,20220919_092129.232,PHASE_0,5.255,-2.051,-141.57
23.4,156.25,93.2,87.75,193.2,214.3,19.94,-92.84,60.3,-68.67,0,1.47,0.1,5.792,20220919_092129.343,PHASE_0,5.255,-2.051,-141.57
22.9,160.9,73.15,97.65,177.05,227.3,19.73,-91.63,54.5,-76.85,0,1.51,0.28,5.792,20220919_092129.454,PHASE_0,5.176,-1.857,-148.75
23.65,154.4,82.8,80.95,197.1,244.5,19.73,-91.63,54.5,-76.85,0,1.51,0.28,5.792,20220919_092129.563,PHASE_0,5.176,-1.857,-148.75
22.9,156.25,91.4,67.7,209.6,242.4,19.63,-96.23,51.9,-80.63,0,1.53,0.35,5.759,20220919_092129.672,PHASE_0,4.804,-1.681,-157.23
22.65,158.55,93.75,85.65,216.4,238.25,19.63,-96.23,51.9,-80.63,0,1.53,0.35,5.759,20220919_092129.780,PHASE_0,4.804,-1.681,-157.23
22.1,174.45,88.0,111.15,215.35,224.7,19.67,-93.37,49.1,-84.8,0,1.51,0.26,5.745,20220919_092129.890,PHASE_0,4.939,-1.597,-158.5
23.65,184.1,78.35,145.8,207.8,220.8,19.67,-93.37,49.1,-84.8,0,1.51,0.26,5.745,20220919_092129.999,PHASE_0,4.939,-1.597,-158.5
23.4,204.9,59.1,175.5,210.4,224.7,19.85,-97.65,44.0,-92.69,0,1.5,0.3,5.758,20220919_092130.110,PHASE_0,4.609,-1.244,-170.49
23.4,204.9,60.15,204.65,228.9,229.9,19.85,-97.65,44.0,-92.69,0,1.5,0.3,5.758,20220919_092130.220,PHASE_0,4.609,-1.244,-170.49
25.5,195.3,71.35,147.65,243.2,239.8,20.36,-95.96,40.2,-98.88,0,1.47,0.17,5.863,20220919_092130.329,PHASE_0,4.688,-1.031,-174.48
25.5,176.55,80.7,91.4,221.05,220.8,21.37,-96.97,40.2,-98.88,0,1.47,0.17,6.094,20220919_092130.434,PHASE_0,4.649,-0.928,-174.48
25.5,175.75,86.7,86.45,199.2,80.7,22.81,-98.61,38.7,-101.41,0,1.5,0.23,6.094,20220919_092130.546,PHASE_0,4.573,-0.694,-177.21
25.25,189.05,84.35,79.9,184.85,192.7,22.81,-98.61,38.7,-101.41,0,1.5,0.23,6.094,20220919_092130.657,PHASE_0,4.573,-0.694,-177.21
22.9,206.25,78.9,75.25,179.9,197.1,24.27,-99.77,36.2,-105.75,0,1.51,0.37,6.094,20220919_092130.763,PHASE_0,4.524,-0.408,-181.25
22.9,212.2,82.8,79.4,185.9,210.15,24.27,-99.77,36.2,-105.75,0,1.51,0.37,6.43,20220919_092130.871,PHASE_0,4.524,-0.408,-181.25
25.75,218.2,91.1,78.35,200.75,215.35,25.58,-100.38,32.3,-112.87,0,1.5,0.22,6.43,20220919_092130.982,PHASE_0,4.517,-0.053,-187.67
24.45,227.3,93.2,72.65,206.5,218.2,25.58,-100.38,32.3,-112.87,0,1.5,0.22,6.662,20220919_092131.100,PHASE_0,4.517,-0.053,-187.67
27.3,235.4,95.55,65.85,209.85,219.75,26.75,-96.55,32.9,-111.74,0,1.51,0.22,6.662,20220919_092131.201,PHASE_0,4.703,-0.063,-181.54
24.7,263.25,105.7,60.15,206.25,215.35,27.97,-98.57,31.9,-113.62,0,1.51,0.28,6.99,20220919_092131.313,PHASE_0,4.606,0.131,-184.22
23.65,270.3,106.75,53.6,206.25,215.1,27.97,-98.57,31.9,-113.62,0,1.51,0.28,7.237,20220919_092131.421,PHASE_0,4.606,0.131,-184.22
25.25,276.55,110.65,47.9,206.75,213.0,29.2,-99.6,31.8,-113.82,0,1.49,0.22,7.237,20220919_092131.531,PHASE_0,4.552,0.252,-184.22
24.2,285.15,113.0,41.65,210.4,214.3,29.2,-99.6,31.8,-113.82,0,1.49,0.22,7.504,20220919_092131.639,PHASE_0,4.552,0.252,-184.22
25.0,290.35,114.55,35.65,210.15,215.6,30.47,-100.07,30.6,-116.13,0,1.47,0.11,7.504,20220919_092131.745,PHASE_0,4.528,0.437,-185.73
24.2,293.75,117.95,31.25,210.4,216.65,30.47,-100.07,30.6,-116.13,0,1.47,0.11,7.504,20220919_092131.858,PHASE_0,4.528,0.437,-185.73
24.7,298.15,118.75,30.7,210.9,212.5,31.73,-99.83,29.4,-118.49,0,1.5,0.19,7.504,20220919_092131.974,PHASE_0,4.537,0.613,-186.59
27.3,305.2,120.3,30.45,211.15,215.6,31.73,-99.83,29.4,-118.49,0,1.5,0.19,7.504,20220919_092132.080,PHASE_0,4.537,0.613,-186.59
23.15,309.1,118.45,30.95,209.35,214.55,32.98,-100.28,28.9,-119.49,0,1.5,0.22,7.504,P_20220919_092132.145,PHASE_0,4.505,0.751,-186.79
